 (u'downward',) ,4
 (u'and,',) ,4
 ('2.',) ,1
 (u'strip',) ,2
 (u'surfac',) ,8
 ('a)',) ,4
 (u'chang',) ,2
 (u'garment',) ,7
 (u'end',) ,54
 (u'neck',) ,7
 (u'section',) ,20
 (u'move',) ,4
 (u'tearabl',) ,6
 (u'portion',) ,8
 (u'back',) ,10
 (u'comprising:',) ,4
 (u'user;',) ,6
 (u'section;',) ,1
 (u'strap',) ,31
 (u'adapt',) ,3
 (u'adhes',) ,6
 (u'compris',) ,4
 (u'dispos',) ,4
 ('c)',) ,4
 (u'tear',) ,8
 (u'stomach',) ,4
 (u'remov',) ,2
 (u'perfor',) ,6
 (u'torn',) ,2
 (u'extend',) ,2
 (u'cover,',) ,4
 (u'cover',) ,16
 (u'second',) ,36
 (u'two',) ,2
 (u'cover.',) ,4
 (u'produc',) ,2
 (u'form',) ,6
 (u'wherein',) ,8
 (u'one',) ,9
 (u'user',) ,6
 (u'protector',) ,40
 (u'along',) ,4
 (u'open',) ,8
 (u'side',) ,12
 (u'joinabl',) ,4
 (u'strap;',) ,1
 (u'includ',) ,6
 (u'join',) ,8
 (u'surface,',) ,4
 ('4.',) ,1
 (u'liquid',) ,4
 (u'collect',) ,4
 (u'bottom',) ,4
 (u'chest',) ,4
 (u'front',) ,16
 (u'close',) ,4
 ('1.',) ,1
 ('3.',) ,1
 (u'quick',) ,1
 (u'use',) ,1
 (u'pouch',) ,8
 (u'permit',) ,2
 (u'side,',) ,4
 (u'end,',) ,4
 (u'storag',) ,4
 (u'top',) ,8
 (u'support',) ,18
 (u'around',) ,2
 (u'length',) ,2
 ('~~',) ,1
 (u'fold',) ,4
 (u'first',) ,46
 (u'torn,',) ,2
 (u'posit',) ,24
 ('b)',) ,4
 (u'least',) ,5
 (u'particul',) ,4
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
 (u'sections,',) ,2
